max_temp,min_temp,precipitation,pressure,cloud_cover,snow_depth,sunshine,global_radiation,date
7,2.1,0.4,101960,7,0,5,51,20201202
7.4,3.1,15,99340,6,0,0,20,20201203
5.7,3.2,0,97660,7,0,0,8,20201204
8.1,3.1,0,98950,2,0,0.8,26,20201205
5.2,2,0.2,100130,7,0,2.4,37,20201206
2.2,-0.3,3,99940,8,0,1,24,20201207
4.5,0,2.2,100280,7,0,0.2,18,20201208
6.6,2.4,0,100630,7,0,1.3,33,20201209
7.5,4.5,9,100000,7,0,0,25,20201210
11.2,6.9,0,98740,6,0,0,16,20201211
9.9,7,0,99720,1,0,0.1,28,20201212
11.1,0.5,6,100340,8,0,0,27,20201213
12.6,9.6,1.4,99870,6,0,0.5,16,20201214
11.6,5.6,1,100480,2,0,2.4,32,20201215
10.6,6.6,3.2,100710,7,0,3.1,36,20201216
11.6,6.2,0,101320,3,0,1.1,25,20201217
11.6,9,1.8,101130,8,0,4.4,38,20201218
12.5,9.9,9,100450,3,0,0.5,15,20201219
10.6,6.7,0.6,101170,1,0,3.3,37,20201220
13.9,5.1,3,100770,8,0,3.9,37,20201221
11.7,11.7,0.6,100970,8,0,0,16,20201222
14,10.1,1.8,100550,7,0,0,23,20201223
6.1,6.1,0,101830,2,0,1.3,32,20201224
4.6,0.7,0,103100,6,0,3.5,40,20201225
10,-0.1,12,101960,7,0,2.1,38,20201226
7.5,7.6,2,98000,1,0,0.9,32,20201227
3.6,-1.3,0.2,97370,7,0,3.7,38,20201228
4.1,1.1,0,98830,7,0,0,21,20201229
5.6,-0.1,0,100200,6,0,0.4,22,20201230
1.5,-3.1,0,100500,7,0,1.3,34,20201231
